domain	fold	split	duplicate_type	duplicate_key	count	sequence_ids
fullCP	Blue	train	cleaned_sequence	3eb79c07d4362e7159951431c40aac9a74964c1a	2	Ribo_ND_019228,Ribo_NC_033161
fullCP	Blue	train	cleaned_sequence	ac6e4df9c637b732983bbcb35c794c3c9b1216c4	2	Ribo_ND_015690,Ribo_Galinsoga_Mosaic_Virus
fullCP	Blue	test	cleaned_sequence	c1431f048b374ccabf06e9614f95e1e21dac0506	3	Cruci_CruV_272,Cruci_CruV_277,Cruci_CruV_281
fullCP	Blue	test	cleaned_sequence	f0a2bbba182be16e748c58ac89fd75a5917017be	3	Cruci_CruV-646,Cruci_CruV-647,Cruci_CruV-648
fullCP	Blue	test	cleaned_sequence	25f5b9216905fb7147a13855cc01357edc34d1a8	2	Cruci_CruV-629,Cruci_CruV-630
fullCP	Blue	test	cleaned_sequence	80f67641b60dd308b9a0b805cdf0da675fcf0ffa	2	Cruci_PB_KX388498,Cruci_PB_KX388499
fullCP	Blue	test	cleaned_sequence	682d5452117b7222e0448adb50474c1dfa9a427d	2	Cruci_PB_KX388500,Cruci_PB_KX388501
fullCP	Blue	test	cleaned_sequence	53b8f3c740835f4022fa068b83a314806d420b36	2	Cruci_CruV-701,Cruci_CruV-702
fullCP	Blue	test	cleaned_sequence	f2c961535ab6031d9edff876bb76a7619e989f1e	2	Cruci_CruV_349,Cruci_CruV_353
fullCP	Green	train	id	Cruci_CruV_420	2	Cruci_CruV_420,Cruci_CruV_420
fullCP	Green	train	cleaned_sequence	b14f735f8f9941cf192401dc0b06d76eb5572958	2	Cruci_CruV-754,Cruci_CruV-755
fullCP	Green	train	cleaned_sequence	7e2e97e9baf3240bdaebce85f8fb1d93b6b11a63	2	Cruci_CruV-692,Cruci_CruV-693
fullCP	Green	train	cleaned_sequence	a01d01a892b2e63e74f5416e8348bc4805ac0d01	2	Cruci_CruV_310,Cruci_CruV_311
fullCP	Green	train	cleaned_sequence	e4f46928f53df69774c92d063671a8b3372bdb41	4	Cruci_CruV_243,Cruci_CruV_245,Cruci_CruV_276,Cruci_CruV_278
fullCP	Green	train	cleaned_sequence	8bd0e5e6d91a37c66567f02d456cbdc8db812b5f	2	Cruci_PB_KX388521,Cruci_PB_KX388522
fullCP	Green	train	cleaned_sequence	fba64079d0e1c7b3ec17188602218440ef06bb0a	3	Cruci_PB_KX388524,Cruci_PB_KX388526,Cruci_CruV-719
fullCP	Green	train	cleaned_sequence	c1431f048b374ccabf06e9614f95e1e21dac0506	3	Cruci_CruV_272,Cruci_CruV_277,Cruci_CruV_281
fullCP	Green	train	cleaned_sequence	c6b38e14383e2d2ab81a7f004d725de3c596881d	2	Cruci_PB_KX388517,Cruci_PB_KX388518
fullCP	Green	train	cleaned_sequence	5085d627f4ad4de28d1f62ec3768266b73350a24	2	Cruci_CruV-894,Cruci_CruV-895
fullCP	Green	train	cleaned_sequence	2f3358f878e8660ebc4cd77aa1b8c3866aa0dec7	3	Cruci_CruV_146,Cruci_CruV_147,Cruci_CruV_148
fullCP	Green	train	cleaned_sequence	f0a2bbba182be16e748c58ac89fd75a5917017be	3	Cruci_CruV-646,Cruci_CruV-647,Cruci_CruV-648
fullCP	Green	train	cleaned_sequence	febcf0ad9e50fba76bdf3b947d223fb0dbef6d2e	2	Cruci_CruV_409,Cruci_CruV_410
fullCP	Green	train	cleaned_sequence	c42c8205c4936424c31ce78a1518641ca44648d1	2	Cruci_CruV_505,Cruci_CruV_506
fullCP	Green	train	cleaned_sequence	7a5f9ef0fb94c549d33253def65bf8de648f8ae5	2	Cruci_CruV_527,Cruci_CruV_528
fullCP	Green	train	cleaned_sequence	62300b71d236ac73e2de3a06ddc8bf3ba13062e1	2	Cruci_CruV_211,Cruci_CruV_234
fullCP	Green	train	cleaned_sequence	43e66b4b0612d1fa9877ae26f086416a3d7bbf81	2	Cruci_CruV_250,Cruci_CruV_251
fullCP	Green	train	cleaned_sequence	8b5d303d745946019be0c9b6994273cf79029ca4	2	Cruci_CruV-583,Cruci_CruV-584
fullCP	Green	train	cleaned_sequence	25f5b9216905fb7147a13855cc01357edc34d1a8	2	Cruci_CruV-629,Cruci_CruV-630
fullCP	Green	train	cleaned_sequence	18c104679f5542321331b4301f3281992ee9ae9b	2	Cruci_CruV-564,Cruci_CruV-565
fullCP	Green	train	cleaned_sequence	80f67641b60dd308b9a0b805cdf0da675fcf0ffa	2	Cruci_PB_KX388498,Cruci_PB_KX388499
fullCP	Green	train	cleaned_sequence	682d5452117b7222e0448adb50474c1dfa9a427d	2	Cruci_PB_KX388500,Cruci_PB_KX388501
fullCP	Green	train	cleaned_sequence	53b8f3c740835f4022fa068b83a314806d420b36	2	Cruci_CruV-701,Cruci_CruV-702
fullCP	Green	train	cleaned_sequence	f2c961535ab6031d9edff876bb76a7619e989f1e	2	Cruci_CruV_349,Cruci_CruV_353
fullCP	Green	train	cleaned_sequence	70adf4b40775050fb9bfb8a435f9131a9c6bdaba	2	Cruci_CruV-676,Cruci_CruV-677
fullCP	Green	train	cleaned_sequence	c01b56f1c66cb540aa41ac85dcc3a713ae159f58	2	Cruci_CruV-844,Cruci_CruV-845
fullCP	Green	train	cleaned_sequence	47fbc63af62a20623b06c0fbe53eecbb964cd7fe	2	Ribo_Hibiscus_chlorotic_ringspot_virus_X86448,Ribo_ND_015813
fullCP	Green	train	cleaned_sequence	3eb79c07d4362e7159951431c40aac9a74964c1a	2	Ribo_ND_019228,Ribo_NC_033161
fullCP	Green	train	cleaned_sequence	ac6e4df9c637b732983bbcb35c794c3c9b1216c4	2	Ribo_ND_015690,Ribo_Galinsoga_Mosaic_Virus
fullCP	Green	test	id	Cruci_CruV-970	2	Cruci_CruV-970,Cruci_CruV-970
fullCP	Green	test	id	Cruci_CruV-972	3	Cruci_CruV-972,Cruci_CruV-972,Cruci_CruV-972
fullCP	Green	test	cleaned_sequence	9bc11fb02b8f0413392b37d7f71fcae1ae68e2ee	3	Cruci_CruV_453,Cruci_CruV_455,Cruci_CruV_456
fullCP	Green	test	cleaned_sequence	a33e6ac59c52a93b7153aa011971b1a0e2a8cabe	2	Cruci_CruV-826,Cruci_CruV-827
fullCP	Green	test	cleaned_sequence	2ba2dc74a8c2991bfdaf7b50e1f5c8d58343ef82	2	Cruci_CruV-778,Cruci_CruV-779
fullCP	Green	test	cleaned_sequence	1fd5018eaf0cb8432049eb8c74b1d4ffc2cb71fd	2	Cruci_CruV-966,Cruci_CruV-965
fullCP	Green	test	cleaned_sequence	b321cb42912f53236419775c620d72c42e9ebecf	2	Cruci_PB_KX388529,Cruci_PB_KX388530
fullCP	Green	test	cleaned_sequence	05ba7cf56bb5c22012efbcd091b8491c7f0e6fa7	2	Cruci_CruV-883,Cruci_CruV-884
fullCP	Green	test	cleaned_sequence	f40e37d2ceb18074ac9eb42ab81dbab465dc7110	2	Cruci_CruV-887,Cruci_CruV-888
fullCP	Green	test	cleaned_sequence	d95003bf3f88a1e95b9a2de7e09286bfee9352b3	2	Cruci_CruV-915,Cruci_CruV-916
fullCP	Green	test	cleaned_sequence	d838f7d2701dcaa22635f0fb0b198a7bc8694b5f	2	Cruci_CruV_501,Cruci_CruV_509
fullCP	Green	test	cleaned_sequence	b1773e302b4d2a51040738bffec6e238845d0299	2	Ribo_ND_018979,Ribo_NC_032880
fullCP	Purple	train	id	Cruci_CruV-970	2	Cruci_CruV-970,Cruci_CruV-970
fullCP	Purple	train	id	Cruci_CruV-972	3	Cruci_CruV-972,Cruci_CruV-972,Cruci_CruV-972
fullCP	Purple	train	cleaned_sequence	9bc11fb02b8f0413392b37d7f71fcae1ae68e2ee	3	Cruci_CruV_453,Cruci_CruV_455,Cruci_CruV_456
fullCP	Purple	train	cleaned_sequence	a33e6ac59c52a93b7153aa011971b1a0e2a8cabe	2	Cruci_CruV-826,Cruci_CruV-827
fullCP	Purple	train	cleaned_sequence	2ba2dc74a8c2991bfdaf7b50e1f5c8d58343ef82	2	Cruci_CruV-778,Cruci_CruV-779
fullCP	Purple	train	cleaned_sequence	c1431f048b374ccabf06e9614f95e1e21dac0506	3	Cruci_CruV_272,Cruci_CruV_277,Cruci_CruV_281
fullCP	Purple	train	cleaned_sequence	1fd5018eaf0cb8432049eb8c74b1d4ffc2cb71fd	2	Cruci_CruV-966,Cruci_CruV-965
fullCP	Purple	train	cleaned_sequence	f0a2bbba182be16e748c58ac89fd75a5917017be	3	Cruci_CruV-646,Cruci_CruV-647,Cruci_CruV-648
fullCP	Purple	train	cleaned_sequence	b321cb42912f53236419775c620d72c42e9ebecf	2	Cruci_PB_KX388529,Cruci_PB_KX388530
fullCP	Purple	train	cleaned_sequence	25f5b9216905fb7147a13855cc01357edc34d1a8	2	Cruci_CruV-629,Cruci_CruV-630
fullCP	Purple	train	cleaned_sequence	80f67641b60dd308b9a0b805cdf0da675fcf0ffa	2	Cruci_PB_KX388498,Cruci_PB_KX388499
fullCP	Purple	train	cleaned_sequence	682d5452117b7222e0448adb50474c1dfa9a427d	2	Cruci_PB_KX388500,Cruci_PB_KX388501
fullCP	Purple	train	cleaned_sequence	53b8f3c740835f4022fa068b83a314806d420b36	2	Cruci_CruV-701,Cruci_CruV-702
fullCP	Purple	train	cleaned_sequence	f2c961535ab6031d9edff876bb76a7619e989f1e	2	Cruci_CruV_349,Cruci_CruV_353
fullCP	Purple	train	cleaned_sequence	05ba7cf56bb5c22012efbcd091b8491c7f0e6fa7	2	Cruci_CruV-883,Cruci_CruV-884
fullCP	Purple	train	cleaned_sequence	f40e37d2ceb18074ac9eb42ab81dbab465dc7110	2	Cruci_CruV-887,Cruci_CruV-888
fullCP	Purple	train	cleaned_sequence	d95003bf3f88a1e95b9a2de7e09286bfee9352b3	2	Cruci_CruV-915,Cruci_CruV-916
fullCP	Purple	train	cleaned_sequence	d838f7d2701dcaa22635f0fb0b198a7bc8694b5f	2	Cruci_CruV_501,Cruci_CruV_509
fullCP	Purple	train	cleaned_sequence	47fbc63af62a20623b06c0fbe53eecbb964cd7fe	2	Ribo_Hibiscus_chlorotic_ringspot_virus_X86448,Ribo_ND_015813
fullCP	Purple	train	cleaned_sequence	b1773e302b4d2a51040738bffec6e238845d0299	2	Ribo_ND_018979,Ribo_NC_032880
fullCP	Purple	train	cleaned_sequence	3eb79c07d4362e7159951431c40aac9a74964c1a	2	Ribo_ND_019228,Ribo_NC_033161
fullCP	Purple	train	cleaned_sequence	ac6e4df9c637b732983bbcb35c794c3c9b1216c4	2	Ribo_ND_015690,Ribo_Galinsoga_Mosaic_Virus
fullCP	Purple	test	id	Cruci_CruV_420	2	Cruci_CruV_420,Cruci_CruV_420
fullCP	Purple	test	cleaned_sequence	b14f735f8f9941cf192401dc0b06d76eb5572958	2	Cruci_CruV-754,Cruci_CruV-755
fullCP	Purple	test	cleaned_sequence	7e2e97e9baf3240bdaebce85f8fb1d93b6b11a63	2	Cruci_CruV-692,Cruci_CruV-693
fullCP	Purple	test	cleaned_sequence	a01d01a892b2e63e74f5416e8348bc4805ac0d01	2	Cruci_CruV_310,Cruci_CruV_311
fullCP	Purple	test	cleaned_sequence	e4f46928f53df69774c92d063671a8b3372bdb41	4	Cruci_CruV_243,Cruci_CruV_245,Cruci_CruV_276,Cruci_CruV_278
fullCP	Purple	test	cleaned_sequence	8bd0e5e6d91a37c66567f02d456cbdc8db812b5f	2	Cruci_PB_KX388521,Cruci_PB_KX388522
fullCP	Purple	test	cleaned_sequence	fba64079d0e1c7b3ec17188602218440ef06bb0a	3	Cruci_PB_KX388524,Cruci_PB_KX388526,Cruci_CruV-719
fullCP	Purple	test	cleaned_sequence	c6b38e14383e2d2ab81a7f004d725de3c596881d	2	Cruci_PB_KX388517,Cruci_PB_KX388518
fullCP	Purple	test	cleaned_sequence	5085d627f4ad4de28d1f62ec3768266b73350a24	2	Cruci_CruV-894,Cruci_CruV-895
fullCP	Purple	test	cleaned_sequence	2f3358f878e8660ebc4cd77aa1b8c3866aa0dec7	3	Cruci_CruV_146,Cruci_CruV_147,Cruci_CruV_148
fullCP	Purple	test	cleaned_sequence	febcf0ad9e50fba76bdf3b947d223fb0dbef6d2e	2	Cruci_CruV_409,Cruci_CruV_410
fullCP	Purple	test	cleaned_sequence	c42c8205c4936424c31ce78a1518641ca44648d1	2	Cruci_CruV_505,Cruci_CruV_506
fullCP	Purple	test	cleaned_sequence	7a5f9ef0fb94c549d33253def65bf8de648f8ae5	2	Cruci_CruV_527,Cruci_CruV_528
fullCP	Purple	test	cleaned_sequence	62300b71d236ac73e2de3a06ddc8bf3ba13062e1	2	Cruci_CruV_211,Cruci_CruV_234
fullCP	Purple	test	cleaned_sequence	43e66b4b0612d1fa9877ae26f086416a3d7bbf81	2	Cruci_CruV_250,Cruci_CruV_251
fullCP	Purple	test	cleaned_sequence	8b5d303d745946019be0c9b6994273cf79029ca4	2	Cruci_CruV-583,Cruci_CruV-584
fullCP	Purple	test	cleaned_sequence	18c104679f5542321331b4301f3281992ee9ae9b	2	Cruci_CruV-564,Cruci_CruV-565
fullCP	Purple	test	cleaned_sequence	70adf4b40775050fb9bfb8a435f9131a9c6bdaba	2	Cruci_CruV-676,Cruci_CruV-677
fullCP	Purple	test	cleaned_sequence	c01b56f1c66cb540aa41ac85dcc3a713ae159f58	2	Cruci_CruV-844,Cruci_CruV-845
fullCP	Red	train	id	Cruci_CruV_420	2	Cruci_CruV_420,Cruci_CruV_420
fullCP	Red	train	id	Cruci_CruV-970	2	Cruci_CruV-970,Cruci_CruV-970
fullCP	Red	train	id	Cruci_CruV-972	3	Cruci_CruV-972,Cruci_CruV-972,Cruci_CruV-972
fullCP	Red	train	cleaned_sequence	b14f735f8f9941cf192401dc0b06d76eb5572958	2	Cruci_CruV-754,Cruci_CruV-755
fullCP	Red	train	cleaned_sequence	9bc11fb02b8f0413392b37d7f71fcae1ae68e2ee	3	Cruci_CruV_453,Cruci_CruV_455,Cruci_CruV_456
fullCP	Red	train	cleaned_sequence	7e2e97e9baf3240bdaebce85f8fb1d93b6b11a63	2	Cruci_CruV-692,Cruci_CruV-693
fullCP	Red	train	cleaned_sequence	a01d01a892b2e63e74f5416e8348bc4805ac0d01	2	Cruci_CruV_310,Cruci_CruV_311
fullCP	Red	train	cleaned_sequence	a33e6ac59c52a93b7153aa011971b1a0e2a8cabe	2	Cruci_CruV-826,Cruci_CruV-827
fullCP	Red	train	cleaned_sequence	2ba2dc74a8c2991bfdaf7b50e1f5c8d58343ef82	2	Cruci_CruV-778,Cruci_CruV-779
fullCP	Red	train	cleaned_sequence	e4f46928f53df69774c92d063671a8b3372bdb41	4	Cruci_CruV_243,Cruci_CruV_245,Cruci_CruV_276,Cruci_CruV_278
fullCP	Red	train	cleaned_sequence	8bd0e5e6d91a37c66567f02d456cbdc8db812b5f	2	Cruci_PB_KX388521,Cruci_PB_KX388522
fullCP	Red	train	cleaned_sequence	fba64079d0e1c7b3ec17188602218440ef06bb0a	3	Cruci_PB_KX388524,Cruci_PB_KX388526,Cruci_CruV-719
fullCP	Red	train	cleaned_sequence	c1431f048b374ccabf06e9614f95e1e21dac0506	3	Cruci_CruV_272,Cruci_CruV_277,Cruci_CruV_281
fullCP	Red	train	cleaned_sequence	c6b38e14383e2d2ab81a7f004d725de3c596881d	2	Cruci_PB_KX388517,Cruci_PB_KX388518
fullCP	Red	train	cleaned_sequence	5085d627f4ad4de28d1f62ec3768266b73350a24	2	Cruci_CruV-894,Cruci_CruV-895
fullCP	Red	train	cleaned_sequence	1fd5018eaf0cb8432049eb8c74b1d4ffc2cb71fd	2	Cruci_CruV-966,Cruci_CruV-965
fullCP	Red	train	cleaned_sequence	2f3358f878e8660ebc4cd77aa1b8c3866aa0dec7	3	Cruci_CruV_146,Cruci_CruV_147,Cruci_CruV_148
fullCP	Red	train	cleaned_sequence	f0a2bbba182be16e748c58ac89fd75a5917017be	3	Cruci_CruV-646,Cruci_CruV-647,Cruci_CruV-648
fullCP	Red	train	cleaned_sequence	febcf0ad9e50fba76bdf3b947d223fb0dbef6d2e	2	Cruci_CruV_409,Cruci_CruV_410
fullCP	Red	train	cleaned_sequence	c42c8205c4936424c31ce78a1518641ca44648d1	2	Cruci_CruV_505,Cruci_CruV_506
fullCP	Red	train	cleaned_sequence	7a5f9ef0fb94c549d33253def65bf8de648f8ae5	2	Cruci_CruV_527,Cruci_CruV_528
fullCP	Red	train	cleaned_sequence	b321cb42912f53236419775c620d72c42e9ebecf	2	Cruci_PB_KX388529,Cruci_PB_KX388530
fullCP	Red	train	cleaned_sequence	62300b71d236ac73e2de3a06ddc8bf3ba13062e1	2	Cruci_CruV_211,Cruci_CruV_234
fullCP	Red	train	cleaned_sequence	43e66b4b0612d1fa9877ae26f086416a3d7bbf81	2	Cruci_CruV_250,Cruci_CruV_251
fullCP	Red	train	cleaned_sequence	8b5d303d745946019be0c9b6994273cf79029ca4	2	Cruci_CruV-583,Cruci_CruV-584
fullCP	Red	train	cleaned_sequence	25f5b9216905fb7147a13855cc01357edc34d1a8	2	Cruci_CruV-629,Cruci_CruV-630
fullCP	Red	train	cleaned_sequence	18c104679f5542321331b4301f3281992ee9ae9b	2	Cruci_CruV-564,Cruci_CruV-565
fullCP	Red	train	cleaned_sequence	80f67641b60dd308b9a0b805cdf0da675fcf0ffa	2	Cruci_PB_KX388498,Cruci_PB_KX388499
fullCP	Red	train	cleaned_sequence	682d5452117b7222e0448adb50474c1dfa9a427d	2	Cruci_PB_KX388500,Cruci_PB_KX388501
fullCP	Red	train	cleaned_sequence	53b8f3c740835f4022fa068b83a314806d420b36	2	Cruci_CruV-701,Cruci_CruV-702
fullCP	Red	train	cleaned_sequence	f2c961535ab6031d9edff876bb76a7619e989f1e	2	Cruci_CruV_349,Cruci_CruV_353
fullCP	Red	train	cleaned_sequence	70adf4b40775050fb9bfb8a435f9131a9c6bdaba	2	Cruci_CruV-676,Cruci_CruV-677
fullCP	Red	train	cleaned_sequence	c01b56f1c66cb540aa41ac85dcc3a713ae159f58	2	Cruci_CruV-844,Cruci_CruV-845
fullCP	Red	train	cleaned_sequence	05ba7cf56bb5c22012efbcd091b8491c7f0e6fa7	2	Cruci_CruV-883,Cruci_CruV-884
fullCP	Red	train	cleaned_sequence	f40e37d2ceb18074ac9eb42ab81dbab465dc7110	2	Cruci_CruV-887,Cruci_CruV-888
fullCP	Red	train	cleaned_sequence	d95003bf3f88a1e95b9a2de7e09286bfee9352b3	2	Cruci_CruV-915,Cruci_CruV-916
fullCP	Red	train	cleaned_sequence	d838f7d2701dcaa22635f0fb0b198a7bc8694b5f	2	Cruci_CruV_501,Cruci_CruV_509
fullCP	Red	train	cleaned_sequence	b1773e302b4d2a51040738bffec6e238845d0299	2	Ribo_ND_018979,Ribo_NC_032880
fullCP	Red	train	cleaned_sequence	3eb79c07d4362e7159951431c40aac9a74964c1a	2	Ribo_ND_019228,Ribo_NC_033161
fullCP	Red	test	cleaned_sequence	47fbc63af62a20623b06c0fbe53eecbb964cd7fe	2	Ribo_Hibiscus_chlorotic_ringspot_virus_X86448,Ribo_ND_015813
fullCP	Red	test	cleaned_sequence	ac6e4df9c637b732983bbcb35c794c3c9b1216c4	2	Ribo_ND_015690,Ribo_Galinsoga_Mosaic_Virus
fullCP	Yellow	train	id	Cruci_CruV_420	2	Cruci_CruV_420,Cruci_CruV_420
fullCP	Yellow	train	id	Cruci_CruV-970	2	Cruci_CruV-970,Cruci_CruV-970
fullCP	Yellow	train	id	Cruci_CruV-972	3	Cruci_CruV-972,Cruci_CruV-972,Cruci_CruV-972
fullCP	Yellow	train	cleaned_sequence	b14f735f8f9941cf192401dc0b06d76eb5572958	2	Cruci_CruV-754,Cruci_CruV-755
fullCP	Yellow	train	cleaned_sequence	9bc11fb02b8f0413392b37d7f71fcae1ae68e2ee	3	Cruci_CruV_453,Cruci_CruV_455,Cruci_CruV_456
fullCP	Yellow	train	cleaned_sequence	7e2e97e9baf3240bdaebce85f8fb1d93b6b11a63	2	Cruci_CruV-692,Cruci_CruV-693
fullCP	Yellow	train	cleaned_sequence	a01d01a892b2e63e74f5416e8348bc4805ac0d01	2	Cruci_CruV_310,Cruci_CruV_311
fullCP	Yellow	train	cleaned_sequence	a33e6ac59c52a93b7153aa011971b1a0e2a8cabe	2	Cruci_CruV-826,Cruci_CruV-827
fullCP	Yellow	train	cleaned_sequence	2ba2dc74a8c2991bfdaf7b50e1f5c8d58343ef82	2	Cruci_CruV-778,Cruci_CruV-779
fullCP	Yellow	train	cleaned_sequence	e4f46928f53df69774c92d063671a8b3372bdb41	4	Cruci_CruV_243,Cruci_CruV_245,Cruci_CruV_276,Cruci_CruV_278
fullCP	Yellow	train	cleaned_sequence	8bd0e5e6d91a37c66567f02d456cbdc8db812b5f	2	Cruci_PB_KX388521,Cruci_PB_KX388522
fullCP	Yellow	train	cleaned_sequence	fba64079d0e1c7b3ec17188602218440ef06bb0a	3	Cruci_PB_KX388524,Cruci_PB_KX388526,Cruci_CruV-719
fullCP	Yellow	train	cleaned_sequence	c1431f048b374ccabf06e9614f95e1e21dac0506	3	Cruci_CruV_272,Cruci_CruV_277,Cruci_CruV_281
fullCP	Yellow	train	cleaned_sequence	c6b38e14383e2d2ab81a7f004d725de3c596881d	2	Cruci_PB_KX388517,Cruci_PB_KX388518
fullCP	Yellow	train	cleaned_sequence	5085d627f4ad4de28d1f62ec3768266b73350a24	2	Cruci_CruV-894,Cruci_CruV-895
fullCP	Yellow	train	cleaned_sequence	1fd5018eaf0cb8432049eb8c74b1d4ffc2cb71fd	2	Cruci_CruV-966,Cruci_CruV-965
fullCP	Yellow	train	cleaned_sequence	2f3358f878e8660ebc4cd77aa1b8c3866aa0dec7	3	Cruci_CruV_146,Cruci_CruV_147,Cruci_CruV_148
fullCP	Yellow	train	cleaned_sequence	f0a2bbba182be16e748c58ac89fd75a5917017be	3	Cruci_CruV-646,Cruci_CruV-647,Cruci_CruV-648
fullCP	Yellow	train	cleaned_sequence	febcf0ad9e50fba76bdf3b947d223fb0dbef6d2e	2	Cruci_CruV_409,Cruci_CruV_410
fullCP	Yellow	train	cleaned_sequence	c42c8205c4936424c31ce78a1518641ca44648d1	2	Cruci_CruV_505,Cruci_CruV_506
fullCP	Yellow	train	cleaned_sequence	7a5f9ef0fb94c549d33253def65bf8de648f8ae5	2	Cruci_CruV_527,Cruci_CruV_528
fullCP	Yellow	train	cleaned_sequence	b321cb42912f53236419775c620d72c42e9ebecf	2	Cruci_PB_KX388529,Cruci_PB_KX388530
fullCP	Yellow	train	cleaned_sequence	62300b71d236ac73e2de3a06ddc8bf3ba13062e1	2	Cruci_CruV_211,Cruci_CruV_234
fullCP	Yellow	train	cleaned_sequence	43e66b4b0612d1fa9877ae26f086416a3d7bbf81	2	Cruci_CruV_250,Cruci_CruV_251
fullCP	Yellow	train	cleaned_sequence	8b5d303d745946019be0c9b6994273cf79029ca4	2	Cruci_CruV-583,Cruci_CruV-584
fullCP	Yellow	train	cleaned_sequence	25f5b9216905fb7147a13855cc01357edc34d1a8	2	Cruci_CruV-629,Cruci_CruV-630
